name,name2,gender,nation,birth,height,weight,event,nationplace,身高
马晋 , Ma Jin,女,中国,1988年5月7日,167厘米,60kg,羽毛球,江苏,167
内瓦尔·塞娜 ,Saina Nehwal,女,印度,1990年3月17日,167厘米,60kg,羽毛球,,167
梅笑寒 ,Mei Xiaohan,女,中国,,,,水球,安徽,
莫有雪 ,Mo Youxue,男,中国,1988年2月16日,179cm,65kg,田径,广东,179
内村航平 ,Kohei Uchimura,男,日本,1989年1月3日,161cm,55kg,体操,,161
孟强 ,Meng Qiang,男,中国,,,,摔跤,,
米奇•拉尔金 ,Mitch Larkin,男,澳大利亚,1993年7月9日,187厘米,72kg,游泳,,187
内弗利耶·伊尔马兹 ,Nevriye Yilmaz,女,土耳其,1980年6月16日,194厘米,85kg,篮球,,194
玛雅·摩尔 ,Maya Moore,女,美国,1989年6月11日,175cm,79kg,篮球,,175
马端斌 ,Ma Duan Bin,男,中国,,,,柔道,北京,
牛冠男 ,Niu Guannan,女,中国,,,,水球,广西,
马梦露 ,Ma Menglu,女,中国,1996年,,,自行车,河南,
玛利亚·格罗兹德娃 ,Maria Grozdeva,女,保加利亚,1972年6月23日,163厘米,66kg,射击,,163
内马尔 ,Neymar,男,巴西,1992年2月5日,175cm,64kg,男子足球,,175
宁泽涛 ,Ning Zetao,男,中国,1993年3月6日,191cm,76-80kg,游泳,河南,191
朴泰桓 ,Park Tae-Hwan,男,韩国,1989年9月27日,183厘米,74kg,游泳,,183
娜迪亚·考尔哈多 ,Nadia Colhado,女,巴西,1989年2月25日,194厘米,84kg,篮球,,194
彭飞 ,Peng Fei,男,中国,1992年,,,摔跤,陕西西安,
欧紫霞 ,Ou Zixia,女,中国,,,,女子曲棍球,四川,
乔·英格尔斯 ,Joe Ingles,男,澳大利亚,,,,篮球,,
潘飞鸿 ,Pan Feihong,女,中国,1989年7月17日,,53kg,赛艇,浙江,
乔斯·卡尔德隆 ,Jose Calderon,男,西班牙,1981年9月28日,191cm,95kg,篮球,,191
庞丰月 ,PANG Fengyue,女,中国,1989年1月19日,,,足球,辽宁,
切阳什姐 ,Qie Yangshijie,女,中国,1990年11月11日,159cm,47kg,田径,青海,159
彭帅 ,Peng Shuai,女,中国,1986年1月8日,173厘米,65kg,网球,天津,173
萩野公介 ,Kosuke Hagino,男,日本,1994年8月15日,175厘米,70kg,游泳,,175
庞伟 ,PangWei,男,中国,1986年7月19日,179厘米,80kg,射击,河北,179
邱子傲 ,Qiu Ziao,男,中国,1998年12月,180cm,,游泳,上海,180
佩特拉·科维托娃 ,Petra Kvitova,女,捷克,1990年3月8日,183厘米,70kg,网球,,183
邱波 ,Qiu Bo,男,中国,1993年1月31日,162厘米,59kg,跳水,四川省,162
彭林 ,Peng Lin,女,中国,1995年4月4日,184厘米,72kg,排球,湖南,184
奇甫倍 ,Ki Bo Bae,女,韩国,1988年2月20日,168厘米,56kg,射箭,,168
彭杨 ,Peng Yang,女,中国,1992年1月17日,163cm,59kg,曲棍球,四川,163
秦凯 ,Qin Kai,男,中国,1986年1月31日,170厘米,65kg,跳水,陕西省,170
秦晨路 ,Qin Chenlu,男,中国,1992年,,,自行车,上海崇明,
邵婷 ,Shao Ting,女,中国,1989年12月10日,188厘米,75kg,篮球,上海,188
塞尔吉奥·罗德里格斯 ,Sergio Rodriguez,男,西班牙,1986年6月12日,191cm,80kg,篮球,,191
齐玉红 ,Qi Yuhong,女,中国,,,,射箭,,
赛音吉日嘎拉 ,Sai Yin Ji Ri Ga La,男,中国,,,,柔道,内蒙古自治区,
孙晓 ,Sun Xiao,女,中国,,,,曲棍球,江苏,
秦钟午 ,Jin Jong-Oh,男,韩国,1975年9月24日,175厘米,78kg,射击,,175
孙一文 ,Sun Yiwen,女,中国,1992年6月17日,177厘米,,击剑,山东,177
松本勝夫 ,Cazuo Matsumoto,男,巴西,1986年6月22日,172厘米,63kg,乒乓球,,172
